Species	Wing length	Apical field area	Total wing area	Apical field %	No. anal veins	Body Length	ln Wing length	ln Apical field area	ln Total wing area	ln Apical field %	Ln (anal veins)	ln(Body Length)
Neoblattella_poecilops	16.5	0	54.1	0	8	14.6	2.81	0	4.01	0	2.08	2.68
Nyctibora_sp	28	0	293	0	8	37	3.34	0	5.68	0	2.08	3.61
Panchlora_	24.6	0	260	0	7	?	3.21	0	5.56	0	1.95	?
Panchlora_ch_zendalaD/niveaT	24	0	222.51	0	6	22.5	3.18	0	5.41	0	1.79	3.11
Periplaneta_americana	26	0	198.1	0	6	32	3.26	0	5.29	0	1.79	3.47
Prosoplecta_ch_vietnamensisD/semperiT	8.9	2.73	47.88	0.06	6	9.6	2.2	1.32	3.89	0.06	1.79	2.26
Pycnoscelus_ch_surinamensisD/nigraT	14.8	2	122.7	0.02	6	21	2.7	1.1	4.82	0.02	1.79	3.04
Riatia_sp	5.82	6.7	23.78	0.28	8	?	1.78	2.04	3.21	0.25	2.08	?
CH_Salganea_taiwanensisD/Ancaudelia_hamiferaT	24.94	0	293.71	0	6	30	3.22	0	5.69	0	1.79	3.4
Supella_longipalpa	11.37	0	65.82	0	6	?	2.44	0	4.2	0	1.79	?
Supella_orientalis	9.41	0	?	0	?	?	2.25	0	?	0	?	?
Supella_ch_longipalpaD/orientalisD/longipalpaT	10.39	0	65.82	0	6	?	2.35	0	4.2	0	1.79	?
Symploce_ch_bispotD/pallensT	16.78	2.9	146.87	0.02	8	20	2.83	1.36	5	0.02	2.08	3
Symploce_incuriosa	14.74	3.85	152.6	0.03	7	?	2.7	1.58	5.03	0.02	1.95	?
Symploce_sikorae	18.44	3.1	153.24	0.02	7	?	2.92	1.41	5.04	0.02	1.95	?
Theganopteryx_ch_ituriensisD/lucidaT	?	?	?	0.06	12	?	?	?	?	0.06	2.48	?
Xestoblatta_berenbaumae	?	1.63	76.5	0.02	10	16.5	?	0.97	4.35	0.02	2.3	2.8
